image_path	size_class
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1001682.png	large
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1001682.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1001682.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1001682.png	tiny
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1028637.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1028637.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1029604.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1029604.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1029604.png	tiny
/home/lilith/work/codec-corpus/CID22/CID22-512/training/106399.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/106399.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/106399.png	tiny
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1080721.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1080721.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1080721.png	tiny
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1082342.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1082342.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1082342.png	tiny
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1089930.png	large
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1089930.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1089930.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1089930.png	tiny
/home/lilith/work/codec-corpus/CID22/CID22-512/training/110472.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/110472.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1129482.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1129482.png	tiny
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1130683.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1130683.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1130683.png	tiny
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1147124.png	large
