path	sha256	codecs_keeping	size_classes_kept	original_image_path
mlp-tune/cid22-train/1001682.png	2b76992d7b0578d0ca333c61cf3dac4938f3ae2c8c7a613dc3179fc3125ec7c4	zenwebp,zenwebp_v01	large,medium,small,tiny	/home/lilith/work/codec-corpus/CID22/CID22-512/training/1001682.png
mlp-tune/cid22-train/1028637.png	bf71611dd0ee392366468420449462a69f07ccc89e96f22ac2744332160ad85f	zenwebp	medium,small	/home/lilith/work/codec-corpus/CID22/CID22-512/training/1028637.png
mlp-tune/cid22-train/1029604.png	ddf197a051d6ff0264456147b703a2d78e9cf734782fd1c4de142d78ff9b1f83	zenwebp,zenwebp_v01	medium,small,tiny	/home/lilith/work/codec-corpus/CID22/CID22-512/training/1029604.png
mlp-tune/cid22-train/106399.png	5649526c6d79faf3abb980170a728b2ec06c2244d8f75a6ed5f1cb918ef15772	zenavif,zenwebp,zenwebp_v01	medium,small,tiny	/home/lilith/work/codec-corpus/CID22/CID22-512/training/106399.png
mlp-tune/cid22-train/1080721.png	c7822d5bd89bed54d4c6f23e2104536c483024ed5c6290d55a97c80fa836f45c	zenwebp,zenwebp_v01	medium,small,tiny	/home/lilith/work/codec-corpus/CID22/CID22-512/training/1080721.png
mlp-tune/cid22-train/1082342.png	f0d4a3edb73360618ba276c299d5ebda60e724475f248ab689d50b12311631a1	zenwebp,zenwebp_v01	medium,small,tiny	/home/lilith/work/codec-corpus/CID22/CID22-512/training/1082342.png
mlp-tune/cid22-train/1089930.png	70bda85409b427474ba37d25dee5435ad32bea594b62cd4ba69592e527cb9870	zenwebp,zenwebp_v01	large,medium,small,tiny	/home/lilith/work/codec-corpus/CID22/CID22-512/training/1089930.png
mlp-tune/cid22-train/110472.png	4f35f46b9029e963fd49d24ab1fd0235234e037caf436a2e241e35aa418102b6	zenwebp	medium,small	/home/lilith/work/codec-corpus/CID22/CID22-512/training/110472.png
mlp-tune/cid22-train/1129482.png	9416992dcb64582212da548e6183bba0c97cf77c8368f3268ebafae8a23cc00b	zenwebp,zenwebp_v01	small,tiny	/home/lilith/work/codec-corpus/CID22/CID22-512/training/1129482.png
mlp-tune/cid22-train/1130683.png	81165700b673e31b0df94c7c3398ee651241748f5dd98343b0352f79a5d8e366	zenwebp,zenwebp_v01	medium,small,tiny	/home/lilith/work/codec-corpus/CID22/CID22-512/training/1130683.png
mlp-tune/cid22-train/1147124.png	2a852da05751d574d41f1c7624b11fe8d9cd86ccf45b4facd2e5f85e990924ec	zenwebp,zenwebp_v01	large,medium,small,tiny	/home/lilith/work/codec-corpus/CID22/CID22-512/training/1147124.png
mlp-tune/cid22-train/1173777.png	e0279ff77880132c251c06a27e5c4a3fed74abd54a71718c867ed451ea1c9138	zenwebp_v01	tiny	/home/lilith/work/codec-corpus/CID22/CID22-512/training/1173777.png
