image_path	size_class
/home/lilith/work/codec-corpus/CID22/CID22-512/training/106399.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1200348.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1292115.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/144428.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1454613116.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1454613116.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1459534.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1545529.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/160577.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1618269.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/164338.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/164338.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/167491.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/167491.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1910225.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1963557.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/2020432.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/2062426.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/2123337.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/2208891.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/2208891.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/2232979.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/2232979.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/2272939.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/2272939.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/2387876.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/2504911.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/258947.png	medium
