image_path	size_class
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1001682.png	large
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1001682.png	medium
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1001682.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1028637.png	large
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1028637.png	medium
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1028637.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1029604.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1080721.png	large
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1080721.png	medium
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1080721.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1082342.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1129482.png	large
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1129482.png	medium
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1129482.png	small
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1129482.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1147124.png	medium
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1147124.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1173777.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1183021.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1200348.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1248582.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1277396.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1287145.png	large
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1287145.png	medium
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1287145.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1292115.png	large
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1292115.png	medium
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1292115.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1370704.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/144200.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/144428.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1454613116.png	large
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1454613116.png	medium
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1454613116.png	small
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1454613116.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1454804.png	large
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1454804.png	medium
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1454804.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1459534.png	large
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/146083.png	medium
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/146083.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1536017106.png	large
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1536017106.png	medium
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1536017106.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1546166.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1570264.png	medium
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1570264.png	small
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1570264.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1583244.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1583339.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1599791.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/160577.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1624307.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/162511.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1661950.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1687147.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/169647.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1722183.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1910225.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1938351.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1943411.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/1963557.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/2020432.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/2062426.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/207691.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/209864.png	tiny
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/2123337.png	large
/home/lilith/work/codec-eval/codec-corpus/CID22/CID22-512/training/2123337.png	medium
