image_path	size_class
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1001682.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1001682.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1028637.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1028637.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1029604.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1029604.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/106399.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/106399.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1080721.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1080721.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1082342.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1082342.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1089930.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1089930.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/110472.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/110472.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1129482.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1130683.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1130683.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1147124.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1147124.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1183021.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1183021.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1200348.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1200348.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1248582.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1248582.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1277396.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1277396.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1287145.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1287145.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1292115.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1292115.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1370704.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1370704.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1391487.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1391487.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1424246.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1424246.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1428647.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1428647.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/144200.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/144200.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/144428.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/144428.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1454613116.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1454613116.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1454804.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1454804.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1459534.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/1459534.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/146083.png	medium
/home/lilith/work/codec-corpus/CID22/CID22-512/training/146083.png	small
/home/lilith/work/codec-corpus/CID22/CID22-512/training/14768480444_bc0a1b4a2e_o.png	medium
